Sample in Buffer,Sample in Window,TRIGGER,ANC_SYSTEM/Waf[0]_12[23:0],ANC_SYSTEM/Waf[1]_13[23:0],ANC_SYSTEM/Waf[2]_14[23:0],ANC_SYSTEM/Waf[3]_15[23:0],ANC_SYSTEM/Waf[4]_16[23:0],ANC_SYSTEM/Waf[5]_17[23:0],ANC_SYSTEM/Waf[6]_18[23:0],ANC_SYSTEM/Waf[7]_19[23:0],ANC_SYSTEM/Waf[8]_20[23:0],ANC_SYSTEM/Waf[9]_21[23:0],ANC_SYSTEM/Waf[10]_22[23:0],ANC_SYSTEM/Waf[11]_23[23:0],ANC_SYSTEM/Waf[12]_24[23:0],ANC_SYSTEM/Waf[13]_25[23:0],ANC_SYSTEM/Waf[14]_26[23:0],ANC_SYSTEM/Waf[15]_27[23:0],ANC_SYSTEM/Waf[16]_28[23:0],ANC_SYSTEM/Waf[17]_29[23:0],ANC_SYSTEM/Waf[18]_30[23:0],ANC_SYSTEM/Waf[19]_31[23:0],ANC_SYSTEM/Waf[20]_32[23:0],ANC_SYSTEM/Waf[21]_33[23:0],ANC_SYSTEM/Waf[22]_34[23:0],ANC_SYSTEM/Waf[23]_35[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
0,0,0,-895019,-512791,-2713774,-1425468,-512944,-4185668,-4674248,2036388,792615,2625622,-5101864,-4853545,-1841335,1015850,-6402784,-7153165,3579061,-1801994,-999686,1379973,-558565,-609169,-573464,-1381649
1,1,0,-895019,-512791,-2713774,-1425468,-512944,-4185668,-4674248,2036388,792615,2625622,-5101864,-4853545,-1841335,1015850,-6402784,-7153165,3579061,-1801994,-999686,1379973,-558565,-609169,-573464,-1381649
2,2,0,-895019,-512791,-2713774,-1425468,-512944,-4185668,-4674248,2036388,792615,2625622,-5101864,-4853545,-1841335,1015850,-6402784,-7153165,3579061,-1801994,-999686,1379973,-558565,-609169,-573464,-1381649
3,3,0,-895019,-512791,-2713774,-1425468,-512944,-4185668,-4674248,2036388,792615,2625622,-5101864,-4853545,-1841335,1015850,-6402784,-7153165,3579061,-1801994,-999686,1379973,-558565,-609169,-573464,-1381649
4,4,0,-895019,-512791,-2713774,-1425468,-512944,-4185668,-4674248,2036388,792615,2625622,-5101864,-4853545,-1841335,1015850,-6402784,-7153165,3579061,-1801994,-999686,1379973,-558565,-609169,-573464,-1381649
5,5,0,-895019,-512791,-2713774,-1425468,-512944,-4185668,-4674248,2036388,792615,2625622,-5101864,-4853545,-1841335,1015850,-6402784,-7153165,3579061,-1801994,-999686,1379973,-558565,-609169,-573464,-1381649
6,6,0,-895019,-512791,-2713774,-1425468,-512944,-4185668,-4674248,2036388,792615,2625622,-5101864,-4853545,-1841335,1015850,-6402784,-7153165,3579061,-1801994,-999686,1379973,-558565,-609169,-573464,-1381649
7,7,0,-895019,-512791,-2713774,-1425468,-512944,-4185668,-4674248,2036388,792615,2625622,-5101864,-4853545,-1841335,1015850,-6402784,-7153165,3579061,-1801994,-999686,1379973,-558565,-609169,-573464,-1381649
8,8,0,-895019,-512791,-2713774,-1425468,-512944,-4185668,-4674248,2036388,792615,2625622,-5101864,-4853545,-1841335,1015850,-6402784,-7153165,3579061,-1801994,-999686,1379973,-558565,-609169,-573464,-1381649
