Sample in Buffer,Sample in Window,TRIGGER,ANC_SYSTEM/Wanc[0]_24[23:0],ANC_SYSTEM/Wanc[1]_25[23:0],ANC_SYSTEM/Wanc[2]_26[23:0],ANC_SYSTEM/Wanc[3]_27[23:0],ANC_SYSTEM/Wanc[4]_28[23:0],ANC_SYSTEM/Wanc[5]_29[23:0],ANC_SYSTEM/Wanc[6]_30[23:0],ANC_SYSTEM/Wanc[7]_31[23:0],ANC_SYSTEM/Wanc[8]_32[23:0],ANC_SYSTEM/Wanc[9]_33[23:0],ANC_SYSTEM/Wanc[10]_34[23:0],ANC_SYSTEM/Wanc[11]_35[23:0],ANC_SYSTEM/Wanc[12]_36[23:0],ANC_SYSTEM/Wanc[13]_37[23:0],ANC_SYSTEM/Wanc[14]_38[23:0],ANC_SYSTEM/Wanc[15]_39[23:0],ANC_SYSTEM/Wanc[16]_40[23:0],ANC_SYSTEM/Wanc[17]_41[23:0],ANC_SYSTEM/Wanc[18]_42[23:0],ANC_SYSTEM/Wanc[19]_43[23:0],ANC_SYSTEM/Wanc[20]_44[23:0],ANC_SYSTEM/Wanc[21]_45[23:0],ANC_SYSTEM/Wanc[22]_46[23:0],ANC_SYSTEM/Wanc[23]_47[23:0],ANC_SYSTEM/Wanc[24]_48[23:0],ANC_SYSTEM/Wanc[25]_49[23:0],ANC_SYSTEM/Wanc[26]_50[23:0],ANC_SYSTEM/Wanc[27]_51[23:0],ANC_SYSTEM/Wanc[28]_52[23:0],ANC_SYSTEM/Wanc[29]_53[23:0],ANC_SYSTEM/Wanc[30]_54[23:0],ANC_SYSTEM/Wanc[31]_55[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
0,0,0,2211960,2259817,2306311,2351831,2396007,2438780,2480343,2520825,2560370,2598067,2634710,2669822,2703559,2735753,2767003,2795914,2823508,2849485,2874153,2897261,2918558,2937986,2955694,2971880,2986480,2999038,3009842,3019202,3026077,3030896,3034499,3035181
1,1,0,2211960,2259817,2306311,2351831,2396007,2438780,2480343,2520825,2560370,2598067,2634710,2669822,2703559,2735753,2767003,2795914,2823508,2849485,2874153,2897261,2918558,2937986,2955694,2971880,2986480,2999038,3009842,3019202,3026077,3030896,3034499,3035181
2,2,0,2211960,2259817,2306311,2351831,2396007,2438780,2480343,2520825,2560370,2598067,2634710,2669822,2703559,2735753,2767003,2795914,2823508,2849485,2874153,2897261,2918558,2937986,2955694,2971880,2986480,2999038,3009842,3019202,3026077,3030896,3034499,3035181
3,3,0,2211960,2259817,2306311,2351831,2396007,2438780,2480343,2520825,2560370,2598067,2634710,2669822,2703559,2735753,2767003,2795914,2823508,2849485,2874153,2897261,2918558,2937986,2955694,2971880,2986480,2999038,3009842,3019202,3026077,3030896,3034499,3035181
4,4,0,2211960,2259817,2306311,2351831,2396007,2438780,2480343,2520825,2560370,2598067,2634710,2669822,2703559,2735753,2767003,2795914,2823508,2849485,2874153,2897261,2918558,2937986,2955694,2971880,2986480,2999038,3009842,3019202,3026077,3030896,3034499,3035181
5,5,0,2211960,2259817,2306311,2351831,2396007,2438780,2480343,2520825,2560370,2598067,2634710,2669822,2703559,2735753,2767003,2795914,2823508,2849485,2874153,2897261,2918558,2937986,2955694,2971880,2986480,2999038,3009842,3019202,3026077,3030896,3034499,3035181
6,6,0,2211960,2259817,2306311,2351831,2396007,2438780,2480343,2520825,2560370,2598067,2634710,2669822,2703559,2735753,2767003,2795914,2823508,2849485,2874153,2897261,2918558,2937986,2955694,2971880,2986480,2999038,3009842,3019202,3026077,3030896,3034499,3035181
7,7,0,2211960,2259817,2306311,2351831,2396007,2438780,2480343,2520825,2560370,2598067,2634710,2669822,2703559,2735753,2767003,2795914,2823508,2849485,2874153,2897261,2918558,2937986,2955694,2971880,2986480,2999038,3009842,3019202,3026077,3030896,3034499,3035181
8,8,0,2211960,2259817,2306311,2351831,2396007,2438780,2480343,2520825,2560370,2598067,2634710,2669822,2703559,2735753,2767003,2795914,2823508,2849485,2874153,2897261,2918558,2937986,2955694,2971880,2986480,2999038,3009842,3019202,3026077,3030896,3034499,3035181
