Sample in Buffer,Sample in Window,TRIGGER,ANC_SYSTEM/Wanc[0]_24[23:0],ANC_SYSTEM/Wanc[1]_25[23:0],ANC_SYSTEM/Wanc[2]_26[23:0],ANC_SYSTEM/Wanc[3]_27[23:0],ANC_SYSTEM/Wanc[4]_28[23:0],ANC_SYSTEM/Wanc[5]_29[23:0],ANC_SYSTEM/Wanc[6]_30[23:0],ANC_SYSTEM/Wanc[7]_31[23:0],ANC_SYSTEM/Wanc[8]_32[23:0],ANC_SYSTEM/Wanc[9]_33[23:0],ANC_SYSTEM/Wanc[10]_34[23:0],ANC_SYSTEM/Wanc[11]_35[23:0],ANC_SYSTEM/Wanc[12]_36[23:0],ANC_SYSTEM/Wanc[13]_37[23:0],ANC_SYSTEM/Wanc[14]_38[23:0],ANC_SYSTEM/Wanc[15]_39[23:0],ANC_SYSTEM/Wanc[16]_40[23:0],ANC_SYSTEM/Wanc[17]_41[23:0],ANC_SYSTEM/Wanc[18]_42[23:0],ANC_SYSTEM/Wanc[19]_43[23:0],ANC_SYSTEM/Wanc[20]_44[23:0],ANC_SYSTEM/Wanc[21]_45[23:0],ANC_SYSTEM/Wanc[22]_46[23:0],ANC_SYSTEM/Wanc[23]_47[23:0],ANC_SYSTEM/Wanc[24]_48[23:0],ANC_SYSTEM/Wanc[25]_49[23:0],ANC_SYSTEM/Wanc[26]_50[23:0],ANC_SYSTEM/Wanc[27]_51[23:0],ANC_SYSTEM/Wanc[28]_52[23:0],ANC_SYSTEM/Wanc[29]_53[23:0],ANC_SYSTEM/Wanc[30]_54[23:0],ANC_SYSTEM/Wanc[31]_55[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
0,0,0,2015242,2056893,2097351,2137027,2175423,2212647,2248656,2283564,2317815,2350344,2381771,2411981,2440960,2468438,2495072,2519508,2542829,2564426,2585090,2604209,2621793,2637562,2651862,2664814,2676132,2685728,2693708,2700478,2704858,2707308,2708645,2707309
1,1,0,2015242,2056893,2097351,2137027,2175423,2212647,2248656,2283564,2317815,2350344,2381771,2411981,2440960,2468438,2495072,2519508,2542829,2564426,2585090,2604209,2621793,2637562,2651862,2664814,2676132,2685728,2693708,2700478,2704858,2707308,2708645,2707309
2,2,0,2015242,2056893,2097351,2137027,2175423,2212647,2248656,2283564,2317815,2350344,2381771,2411981,2440960,2468438,2495072,2519508,2542829,2564426,2585090,2604209,2621793,2637562,2651862,2664814,2676132,2685728,2693708,2700478,2704858,2707308,2708645,2707309
3,3,0,2015242,2056893,2097351,2137027,2175423,2212647,2248656,2283564,2317815,2350344,2381771,2411981,2440960,2468438,2495072,2519508,2542829,2564426,2585090,2604209,2621793,2637562,2651862,2664814,2676132,2685728,2693708,2700478,2704858,2707308,2708645,2707309
4,4,0,2015242,2056893,2097351,2137027,2175423,2212647,2248656,2283564,2317815,2350344,2381771,2411981,2440960,2468438,2495072,2519508,2542829,2564426,2585090,2604209,2621793,2637562,2651862,2664814,2676132,2685728,2693708,2700478,2704858,2707308,2708645,2707309
5,5,0,2015242,2056893,2097351,2137027,2175423,2212647,2248656,2283564,2317815,2350344,2381771,2411981,2440960,2468438,2495072,2519508,2542829,2564426,2585090,2604209,2621793,2637562,2651862,2664814,2676132,2685728,2693708,2700478,2704858,2707308,2708645,2707309
6,6,0,2015242,2056893,2097351,2137027,2175423,2212647,2248656,2283564,2317815,2350344,2381771,2411981,2440960,2468438,2495072,2519508,2542829,2564426,2585090,2604209,2621793,2637562,2651862,2664814,2676132,2685728,2693708,2700478,2704858,2707308,2708645,2707309
7,7,0,2015242,2056893,2097351,2137027,2175423,2212647,2248656,2283564,2317815,2350344,2381771,2411981,2440960,2468438,2495072,2519508,2542829,2564426,2585090,2604209,2621793,2637562,2651862,2664814,2676132,2685728,2693708,2700478,2704858,2707308,2708645,2707309
8,8,0,2015242,2056893,2097351,2137027,2175423,2212647,2248656,2283564,2317815,2350344,2381771,2411981,2440960,2468438,2495072,2519508,2542829,2564426,2585090,2604209,2621793,2637562,2651862,2664814,2676132,2685728,2693708,2700478,2704858,2707308,2708645,2707309
9,9,0,2015242,2056893,2097351,2137027,2175423,2212647,2248656,2283564,2317815,2350344,2381771,2411981,2440960,2468438,2495072,2519508,2542829,2564426,2585090,2604209,2621793,2637562,2651862,2664814,2676132,2685728,2693708,2700478,2704858,2707308,2708645,2707309
