Sample in Buffer,Sample in Window,TRIGGER,ANC_SYSTEM/Wsp[0]_36[23:0],ANC_SYSTEM/Wsp[1]_37[23:0],ANC_SYSTEM/Wsp[2]_38[23:0],ANC_SYSTEM/Wsp[3]_39[23:0],ANC_SYSTEM/Wsp[4]_40[23:0],ANC_SYSTEM/Wsp[5]_41[23:0],ANC_SYSTEM/Wsp[6]_42[23:0],ANC_SYSTEM/Wsp[7]_43[23:0],ANC_SYSTEM/Wsp[8]_44[23:0],ANC_SYSTEM/Wsp[9]_45[23:0],ANC_SYSTEM/Wsp[10]_46[23:0],ANC_SYSTEM/Wsp[11]_47[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
0,0,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
1,1,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
2,2,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
3,3,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
4,4,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
5,5,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
6,6,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
7,7,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
8,8,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
9,9,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
10,10,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
11,11,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
12,12,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
13,13,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
14,14,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
15,15,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
16,16,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
17,17,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
18,18,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
19,19,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
20,20,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
21,21,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
22,22,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
23,23,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
24,24,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
25,25,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
26,26,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
27,27,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
28,28,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
29,29,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
30,30,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
31,31,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
32,32,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
33,33,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
34,34,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
35,35,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
36,36,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
37,37,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
38,38,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
39,39,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
40,40,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
41,41,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
42,42,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
43,43,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
44,44,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
45,45,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
46,46,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
47,47,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
48,48,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
49,49,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
50,50,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
51,51,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
52,52,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
53,53,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
54,54,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
55,55,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
56,56,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
57,57,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
58,58,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
59,59,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
60,60,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
61,61,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
62,62,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
63,63,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
64,64,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
65,65,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
66,66,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
67,67,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
68,68,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
69,69,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
70,70,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
71,71,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
72,72,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
73,73,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
74,74,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
75,75,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
76,76,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
77,77,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
78,78,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
79,79,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
80,80,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
81,81,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
82,82,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
83,83,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
84,84,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
85,85,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
86,86,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
87,87,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
88,88,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
89,89,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
90,90,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
91,91,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
92,92,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
93,93,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
94,94,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
95,95,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
96,96,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
97,97,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
98,98,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
99,99,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
100,100,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
101,101,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
102,102,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
103,103,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
104,104,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
105,105,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
106,106,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
107,107,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
108,108,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
109,109,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
110,110,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
111,111,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
112,112,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
113,113,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
114,114,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
115,115,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
116,116,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
117,117,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
118,118,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
119,119,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
120,120,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
121,121,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
122,122,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
123,123,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
124,124,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
125,125,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
126,126,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
127,127,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
128,128,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
129,129,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
130,130,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
131,131,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
132,132,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
133,133,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
134,134,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
135,135,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
136,136,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
137,137,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
138,138,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
139,139,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
140,140,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
141,141,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
142,142,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
143,143,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
144,144,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
145,145,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
146,146,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
147,147,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
148,148,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
149,149,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
150,150,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
151,151,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
152,152,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
153,153,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
154,154,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
155,155,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
156,156,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
157,157,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
158,158,0,-72604,-59688,-50578,-57106,-39897,-54823,-62093,-41256,-37244,-52788,-62996,-51924
