Sample in Buffer,Sample in Window,TRIGGER,ANC_SYSTEM/Wanc[0]_24[23:0],ANC_SYSTEM/Wanc[1]_25[23:0],ANC_SYSTEM/Wanc[2]_26[23:0],ANC_SYSTEM/Wanc[3]_27[23:0],ANC_SYSTEM/Wanc[4]_28[23:0],ANC_SYSTEM/Wanc[5]_29[23:0],ANC_SYSTEM/Wanc[6]_30[23:0],ANC_SYSTEM/Wanc[7]_31[23:0],ANC_SYSTEM/Wanc[8]_32[23:0],ANC_SYSTEM/Wanc[9]_33[23:0],ANC_SYSTEM/Wanc[10]_34[23:0],ANC_SYSTEM/Wanc[11]_35[23:0],ANC_SYSTEM/Wanc[12]_36[23:0],ANC_SYSTEM/Wanc[13]_37[23:0],ANC_SYSTEM/Wanc[14]_38[23:0],ANC_SYSTEM/Wanc[15]_39[23:0],ANC_SYSTEM/Wanc[16]_40[23:0],ANC_SYSTEM/Wanc[17]_41[23:0],ANC_SYSTEM/Wanc[18]_42[23:0],ANC_SYSTEM/Wanc[19]_43[23:0],ANC_SYSTEM/Wanc[20]_44[23:0],ANC_SYSTEM/Wanc[21]_45[23:0],ANC_SYSTEM/Wanc[22]_46[23:0],ANC_SYSTEM/Wanc[23]_47[23:0],ANC_SYSTEM/Wanc[24]_48[23:0],ANC_SYSTEM/Wanc[25]_49[23:0],ANC_SYSTEM/Wanc[26]_50[23:0],ANC_SYSTEM/Wanc[27]_51[23:0],ANC_SYSTEM/Wanc[28]_52[23:0],ANC_SYSTEM/Wanc[29]_53[23:0],ANC_SYSTEM/Wanc[30]_54[23:0],ANC_SYSTEM/Wanc[31]_55[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
0,0,0,844329,1188821,1544388,1907815,2275719,2647151,3020530,3394310,3767266,4134335,4489040,4823854,5131739,5404544,5636897,5823776,5963356,6054173,6096643,6091531,6041303,5949770,5812634,5624362,5385345,5100015,4790119,4476420,4158149,3833817,3502403,3173339
1,1,0,844329,1188821,1544388,1907815,2275719,2647151,3020530,3394310,3767266,4134335,4489040,4823854,5131739,5404544,5636897,5823776,5963356,6054173,6096643,6091531,6041303,5949770,5812634,5624362,5385345,5100015,4790119,4476420,4158149,3833817,3502403,3173339
2,2,0,844329,1188821,1544388,1907815,2275719,2647151,3020530,3394310,3767266,4134335,4489040,4823854,5131739,5404544,5636897,5823776,5963356,6054173,6096643,6091531,6041303,5949770,5812634,5624362,5385345,5100015,4790119,4476420,4158149,3833817,3502403,3173339
3,3,0,844329,1188821,1544388,1907815,2275719,2647151,3020530,3394310,3767266,4134335,4489040,4823854,5131739,5404544,5636897,5823776,5963356,6054173,6096643,6091531,6041303,5949770,5812634,5624362,5385345,5100015,4790119,4476420,4158149,3833817,3502403,3173339
4,4,0,844329,1188821,1544388,1907815,2275719,2647151,3020530,3394310,3767266,4134335,4489040,4823854,5131739,5404544,5636897,5823776,5963356,6054173,6096643,6091531,6041303,5949770,5812634,5624362,5385345,5100015,4790119,4476420,4158149,3833817,3502403,3173339
5,5,0,844329,1188821,1544388,1907815,2275719,2647151,3020530,3394310,3767266,4134335,4489040,4823854,5131739,5404544,5636897,5823776,5963356,6054173,6096643,6091531,6041303,5949770,5812634,5624362,5385345,5100015,4790119,4476420,4158149,3833817,3502403,3173339
6,6,0,844329,1188821,1544388,1907815,2275719,2647151,3020530,3394310,3767266,4134335,4489040,4823854,5131739,5404544,5636897,5823776,5963356,6054173,6096643,6091531,6041303,5949770,5812634,5624362,5385345,5100015,4790119,4476420,4158149,3833817,3502403,3173339
7,7,0,844329,1188821,1544388,1907815,2275719,2647151,3020530,3394310,3767266,4134335,4489040,4823854,5131739,5404544,5636897,5823776,5963356,6054173,6096643,6091531,6041303,5949770,5812634,5624362,5385345,5100015,4790119,4476420,4158149,3833817,3502403,3173339
8,8,0,844329,1188821,1544388,1907815,2275719,2647151,3020530,3394310,3767266,4134335,4489040,4823854,5131739,5404544,5636897,5823776,5963356,6054173,6096643,6091531,6041303,5949770,5812634,5624362,5385345,5100015,4790119,4476420,4158149,3833817,3502403,3173339
