Sample in Buffer,Sample in Window,TRIGGER,ANC_SYSTEM/Wanc[0]_24[23:0],ANC_SYSTEM/Wanc[1]_25[23:0],ANC_SYSTEM/Wanc[2]_26[23:0],ANC_SYSTEM/Wanc[3]_27[23:0],ANC_SYSTEM/Wanc[4]_28[23:0],ANC_SYSTEM/Wanc[5]_29[23:0],ANC_SYSTEM/Wanc[6]_30[23:0],ANC_SYSTEM/Wanc[7]_31[23:0],ANC_SYSTEM/Wanc[8]_32[23:0],ANC_SYSTEM/Wanc[9]_33[23:0],ANC_SYSTEM/Wanc[10]_34[23:0],ANC_SYSTEM/Wanc[11]_35[23:0],ANC_SYSTEM/Wanc[12]_36[23:0],ANC_SYSTEM/Wanc[13]_37[23:0],ANC_SYSTEM/Wanc[14]_38[23:0],ANC_SYSTEM/Wanc[15]_39[23:0],ANC_SYSTEM/Wanc[16]_40[23:0],ANC_SYSTEM/Wanc[17]_41[23:0],ANC_SYSTEM/Wanc[18]_42[23:0],ANC_SYSTEM/Wanc[19]_43[23:0],ANC_SYSTEM/Wanc[20]_44[23:0],ANC_SYSTEM/Wanc[21]_45[23:0],ANC_SYSTEM/Wanc[22]_46[23:0],ANC_SYSTEM/Wanc[23]_47[23:0],ANC_SYSTEM/Wanc[24]_48[23:0],ANC_SYSTEM/Wanc[25]_49[23:0],ANC_SYSTEM/Wanc[26]_50[23:0],ANC_SYSTEM/Wanc[27]_51[23:0],ANC_SYSTEM/Wanc[28]_52[23:0],ANC_SYSTEM/Wanc[29]_53[23:0],ANC_SYSTEM/Wanc[30]_54[23:0],ANC_SYSTEM/Wanc[31]_55[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
0,0,0,1175578,1192754,1209302,1225351,1240387,1255042,1268778,1281961,1294710,1306473,1317332,1327474,1336709,1345177,1353248,1359913,1365703,1370539,1374708,1378044,1380515,1381622,1381921,1381562,1380280,1377924,1374708,1370596,1365089,1358485,1350887,1341901
1,1,0,1175578,1192754,1209302,1225351,1240387,1255042,1268778,1281961,1294710,1306473,1317332,1327474,1336709,1345177,1353248,1359913,1365703,1370539,1374708,1378044,1380515,1381622,1381921,1381562,1380280,1377924,1374708,1370596,1365089,1358485,1350887,1341901
2,2,0,1175578,1192754,1209302,1225351,1240387,1255042,1268778,1281961,1294710,1306473,1317332,1327474,1336709,1345177,1353248,1359913,1365703,1370539,1374708,1378044,1380515,1381622,1381921,1381562,1380280,1377924,1374708,1370596,1365089,1358485,1350887,1341901
3,3,0,1175578,1192754,1209302,1225351,1240387,1255042,1268778,1281961,1294710,1306473,1317332,1327474,1336709,1345177,1353248,1359913,1365703,1370539,1374708,1378044,1380515,1381622,1381921,1381562,1380280,1377924,1374708,1370596,1365089,1358485,1350887,1341901
4,4,0,1175578,1192754,1209302,1225351,1240387,1255042,1268778,1281961,1294710,1306473,1317332,1327474,1336709,1345177,1353248,1359913,1365703,1370539,1374708,1378044,1380515,1381622,1381921,1381562,1380280,1377924,1374708,1370596,1365089,1358485,1350887,1341901
5,5,0,1175578,1192754,1209302,1225351,1240387,1255042,1268778,1281961,1294710,1306473,1317332,1327474,1336709,1345177,1353248,1359913,1365703,1370539,1374708,1378044,1380515,1381622,1381921,1381562,1380280,1377924,1374708,1370596,1365089,1358485,1350887,1341901
6,6,0,1175578,1192754,1209302,1225351,1240387,1255042,1268778,1281961,1294710,1306473,1317332,1327474,1336709,1345177,1353248,1359913,1365703,1370539,1374708,1378044,1380515,1381622,1381921,1381562,1380280,1377924,1374708,1370596,1365089,1358485,1350887,1341901
7,7,0,1175578,1192754,1209302,1225351,1240387,1255042,1268778,1281961,1294710,1306473,1317332,1327474,1336709,1345177,1353248,1359913,1365703,1370539,1374708,1378044,1380515,1381622,1381921,1381562,1380280,1377924,1374708,1370596,1365089,1358485,1350887,1341901
8,8,0,1175578,1192754,1209302,1225351,1240387,1255042,1268778,1281961,1294710,1306473,1317332,1327474,1336709,1345177,1353248,1359913,1365703,1370539,1374708,1378044,1380515,1381622,1381921,1381562,1380280,1377924,1374708,1370596,1365089,1358485,1350887,1341901
9,9,0,1175578,1192754,1209302,1225351,1240387,1255042,1268778,1281961,1294710,1306473,1317332,1327474,1336709,1345177,1353248,1359913,1365703,1370539,1374708,1378044,1380515,1381622,1381921,1381562,1380280,1377924,1374708,1370596,1365089,1358485,1350887,1341901
10,10,0,1175578,1192754,1209302,1225351,1240387,1255042,1268778,1281961,1294710,1306473,1317332,1327474,1336709,1345177,1353248,1359913,1365703,1370539,1374708,1378044,1380515,1381622,1381921,1381562,1380280,1377924,1374708,1370596,1365089,1358485,1350887,1341901
