Sample in Buffer,Sample in Window,TRIGGER,ANC_SYSTEM/Wsp[0]_36[23:0],ANC_SYSTEM/Wsp[1]_37[23:0],ANC_SYSTEM/Wsp[2]_38[23:0],ANC_SYSTEM/Wsp[3]_39[23:0],ANC_SYSTEM/Wsp[4]_40[23:0],ANC_SYSTEM/Wsp[5]_41[23:0],ANC_SYSTEM/Wsp[6]_42[23:0],ANC_SYSTEM/Wsp[7]_43[23:0],ANC_SYSTEM/Wsp[8]_44[23:0],ANC_SYSTEM/Wsp[9]_45[23:0],ANC_SYSTEM/Wsp[10]_46[23:0],ANC_SYSTEM/Wsp[11]_47[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
51,51,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
52,52,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
53,53,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
54,54,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
55,55,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
56,56,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
57,57,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
58,58,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
59,59,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
60,60,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
61,61,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
62,62,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
63,63,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
64,64,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
65,65,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
66,66,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
67,67,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
68,68,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
69,69,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
70,70,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
71,71,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
72,72,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
73,73,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
74,74,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
75,75,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
76,76,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
77,77,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
78,78,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
79,79,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
80,80,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
81,81,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
82,82,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
83,83,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
84,84,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
85,85,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
86,86,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
87,87,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
88,88,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
89,89,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
90,90,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
91,91,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
92,92,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
93,93,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
94,94,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
95,95,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
96,96,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
97,97,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
98,98,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
99,99,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
100,100,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
101,101,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
102,102,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
103,103,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
104,104,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
