Sample in Buffer,Sample in Window,TRIGGER,ANC_SYSTEM/Wanc[0]_0[23:0],ANC_SYSTEM/Wanc[1]_1[23:0],ANC_SYSTEM/Wanc[2]_2[23:0],ANC_SYSTEM/Wanc[3]_3[23:0],ANC_SYSTEM/Wanc[4]_4[23:0],ANC_SYSTEM/Wanc[5]_5[23:0],ANC_SYSTEM/Wanc[6]_6[23:0],ANC_SYSTEM/Wanc[7]_7[23:0],ANC_SYSTEM/Wanc[8]_8[23:0],ANC_SYSTEM/Wanc[9]_9[23:0],ANC_SYSTEM/Wanc[10]_10[23:0],ANC_SYSTEM/Wanc[11]_11[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
0,0,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
1,1,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
2,2,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
3,3,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
4,4,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
5,5,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
6,6,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
7,7,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
8,8,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
9,9,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
10,10,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
11,11,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
12,12,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
13,13,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
14,14,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
15,15,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75394,91080,255765
16,16,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
17,17,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
18,18,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
19,19,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
20,20,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
21,21,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
22,22,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
23,23,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
24,24,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
25,25,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
26,26,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
27,27,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
28,28,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
29,29,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
30,30,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
31,31,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
32,32,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
33,33,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
34,34,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
35,35,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
36,36,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
37,37,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
38,38,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
39,39,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
40,40,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
41,41,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
42,42,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
43,43,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
44,44,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
45,45,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
46,46,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
47,47,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
48,48,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
49,49,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
50,50,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
51,51,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
52,52,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243504,-75393,91081,255766
53,53,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
54,54,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
55,55,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
56,56,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
57,57,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
58,58,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
59,59,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
60,60,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
61,61,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
62,62,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
63,63,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
64,64,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
65,65,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
66,66,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
67,67,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
68,68,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
69,69,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
70,70,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
71,71,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
72,72,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
73,73,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
74,74,0,-1298040,-1236390,-1158486,-1066329,-930598,-758093,-583871,-412313,-243503,-75392,91082,255767
